Computer Name,Operating System,Model,Serial Number
L-B0434J3,Windows 11,Latitude 5420,B0434J3
L-BGWHQV3,Windows 11,Latitude 5440,BGWHQV3
L-BPWHQV3,Windows 11,Latitude 5440,BPWHQV3
L-BZGZCK3,Windows 11,Latitude 5430,BZGZCK3
L-C2N11J3,Windows 11,Latitude 5420,C2N11J3
L-CLZHQV3,Windows 11,Latitude 5440,CLZHQV3
L-CRZHQV3,Windows 11,Latitude 5440,CRZHQV3
L-D185GK3,Windows 11,Latitude 5430,D185GK3
L-DHL7GK3,Windows 11,Latitude 5430,DHL7GK3
L-DSDGBY3,Windows 11,Latitude 5440,DSDGBY3
L-FF7SSV3,Windows 11,Latitude 5440,FF7SSV3
L-FPXNGK3,Windows 11,Latitude 5430,FPXNGK3
L-FWD73J3,Windows 11,Latitude 5420,FWD73J3
L-FXL7GK3,Windows 11,Latitude 5430,FXL7GK3
L-FXXHQV3,Windows 11,Latitude 5440,FXXHQV3
L-GHM7GK3,Windows 11,Latitude 5430,GHM7GK3
L-GVZHQV3,Windows 11,Latitude 5440,GVZHQV3
L-GWLH6J3,Windows 11,Latitude 5420,GWLH6J3
L-HMJ7DK3,Windows 11,Latitude 5430,HMJ7DK3
L-HTZNDY3,Windows 11,Latitude 5440,HTZNDY3
LIT-CHRSTEIN2,Windows 11,Latitude 9430,77SGHR3
LIT-CMT24J3,Windows 11,Latitude 5420,CMT24J3
LIT-STEVENTF-LT,Windows 11,XPS 15 9510,7LB56J3
L-J0MH6J3,Windows 11,Latitude 5420,J0MH6J3
L-J7Z9KQ3,Windows 11,OptiPlex 5000,J7Z9KQ3
L-JDNC1T3,Windows 11,Latitude 5430,JDNC1T3
L-JHDJQV3,Windows 11,Latitude 5440,JHDJQV3
L-JWR7GK3,Windows 11,Latitude 5430,JWR7GK3
MCDB-06ERLN,Windows 7,,
MCDB-13KX7B3,Windows 10,OptiPlex 5080,13KX7B3
MCDB-13LV7B3,Windows 10,OptiPlex 5080,13LV7B3
MCDB-18GSCP1,Windows 7,Precision T3500,18GSCP1
MCDB-2989X33,Windows 11,XPS 15 9500,2989X33
MCDB-29MMRY3,Windows 11,OptiPlex SFF Plus 7010,29MMRY3
MCDB-2C5S6S3,Windows 10,Latitude 5530,2C5S6S3
MCDB-2CRNKR3,Windows 11,,
MCDB-2HGTDY3,Windows 11,,
MCDB-2KYN0T3,Windows 11,Latitude 5430,2KYN0T3
MCDB-2M244104QN,Windows 10,ProLiant ML350p Gen8,2M244104QN
MCDB-2SNXBY3,Windows 11,Latitude 5440,2SNXBY3
MCDB-2UA2240PWB,Windows 10,Z420 Workstation,2UA2240PWB
MCDB-2UA2380GQ7,Windows 10,Z420 Workstation,2UA2380GQ7
MCDB-2UA2380GQ8,Windows 10,Z420 Workstation,2UA2380GQ8
MCDB-2UA2410R1J,Windows 10,Z420 Workstation,2UA2410R1J
MCDB-2UA3060ZGQ,Windows 10,Z420 Workstation,2UA3060ZGQ
MCDB-2UA3200XXL,Windows 10,Z420 Workstation,2UA3200XXL
MCDB-2UA349138W,Windows 10,Compaq Pro 6300 MT,2UA349138W
MCDB-2UA349138X,Windows 10,Compaq Pro 6300 MT,2UA349138X
MCDB-2UA41528P8,Windows 10,Z420 Workstation,2UA41528P8
MCDB-2UA4230Y6F,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y6F
MCDB-2UA4230Y9J,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y9J
MCDB-2UA42428GM,Windows 10,ProDesk 600 G1 SFF,2UA42428GM
MCDB-2UA4290QXD,Windows 10,ProDesk 600 G1 SFF,2UA4290QXD
MCDB-2UA4320CXD,Windows 10,ProDesk 600 G1 Tower,2UA4320CXD
MCDB-2UA5010NYJ,Windows 10,ProDesk 600 G1 Tower,2UA5010NYJ
MCDB-2UA51111W9,Windows 10,ProDesk 600 G1 SFF,2UA51111W9
MCDB-2UA51111WB,Windows 10,ProDesk 600 G1 SFF,2UA51111WB
MCDB-2UA5141VFP,Windows 10,ProDesk 600 G1 SFF,2UA5141VFP
MCDB-2UA51716VK,Windows 10,EliteDesk 800 G1 USDT,2UA51716VK
MCDB-2UA5232GVL,Windows 10,ProDesk 600 G1 SFF,2UA5232GVL
MCDB-2UA5232GVR,Windows 10,ProDesk 600 G1 SFF,2UA5232GVR
MCDB-2UA5232GWN,Windows 10,ProDesk 600 G1 SFF,2UA5232GWN
MCDB-2UA52723DX,Windows 10,ProDesk 600 G1 SFF,2UA52723DX
MCDB-2UA5432K5P,Windows 10,ProDesk 600 G1 Tower,2UA5432K5P
MCDB-2UA54511X8,Windows 10,ProDesk 600 G1 SFF,2UA54511X8
MCDB-2UA5471D34,Windows 10,EliteDesk 800 G1 USDT,2UA5471D34
