Computer Name,Operating System,Model,Serial Number
IC-RAN1254-J05,Windows 11,OptiPlex 7000,F7VQ2Q3
IC-RAN1254-J06,Windows 11,OptiPlex 7000,F8VQ2Q3
IC-RAN1254-J07,Windows 11,OptiPlex 7000,F9VQ2Q3
IC-RAN1254-J08,Windows 11,OptiPlex 7000,FBVQ2Q3
IC-RAN1254-J09,Windows 11,OptiPlex 7000,G7VQ2Q3
IC-RAN1261-J01,Windows 11,OptiPlex 7000,G8VQ2Q3
IC-RAN1261-J02,Windows 11,OptiPlex 7000,G9VQ2Q3
IC-RAN1261-J03,Windows 11,OptiPlex 7000,GBVQ2Q3
IC-RAN1261-J04,Windows 11,OptiPlex 7000,H7VQ2Q3
IC-RAN1261-J05,Windows 11,OptiPlex 7000,H8VQ2Q3
IC-RAN1261-J06,Windows 11,OptiPlex 7000,H9VQ2Q3
IC-RAN1261-J07,Windows 11,OptiPlex 7000,HBVQ2Q3
IC-RAN1261-J08,Windows 11,OptiPlex 7000,J7VQ2Q3
IC-RAN1261-J09,Windows 11,OptiPlex 7000,J8VQ2Q3
IC-RAN1261-J10,Windows 11,OptiPlex 7000,J9VQ2Q3
IC-RAN1261-J11,Windows 11,OptiPlex 7000,JBVQ2Q3
IC-RAN1412-F01,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TW7
IC-RAN1412-F02,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TVX
IC-RAN1412-F03,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TWK
IC-RAN1412-F04,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TWJ
IC-RAN1412-F05,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TVJ
IC-RAN1412-F06,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TWH
IC-RAN1412-F07,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TW9
IC-RAN1412-F08,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TVZ
IC-RAN1412-F09,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TWF
IC-RAN1412-F10,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TW6
IC-RAN1412-F11,Windows 11,ProDesk 600 G4 Desktop Mini,MXL9414TVT
IC-RAN2246-J01,Windows 11,OptiPlex 7090,3P7H3Q3
IC-RAN3246-F01,Windows 11,EliteDesk 800 35W G4 Desktop Mini,MXL9102Q5G
IC-RAN3481-B01,Windows 10,EliteDesk 800 G1 USDT,2UA6080X9D
IC-RAN3481-H01,Windows 11,OptiPlex 7090,JHT5RJ3
IC-RAN4246-F01,Windows 11,EliteDesk 800 35W G4 Desktop Mini,MXL9343BRL
IC-RAN4404-K01,Windows 11,OptiPlex Micro 7010,C93D6X3
IC-RANBK-F01,Windows 11,,
IC-RANBK-F04,Windows 10,ProDesk 600 G4 Desktop Mini,MXL9414TW0
IC-RMC1006-J01,Windows 11,OptiPlex 7090,BV7H3Q3
IC-RMC1020-H01,Windows 11,OptiPlex 7090,740PKM3
IC-SEB1202-H01,Windows 11,OptiPlex 7080,85T2KD3
IC-SEB3021-J01,Windows 10,OptiPlex 7090,BXBH3Q3
IC-SKB1030-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164KBX
IC-SKB1067-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXZ
IC-SKB1295-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX4
IC-SKB1600-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NY2
IC-SKB1650-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NY5
IC-SKB1660-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NY3
IC-SKB1670-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NY4
IC-SKB2001-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXC
IC-SKB2005-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXB
IC-SKB2040-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXD
IC-SKB2050-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWV
IC-SKB2060-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164KD0
IC-SKB2070-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWT
IC-SKB2080-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NY1
IC-SKB2140-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWN
IC-SKB2150-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWS
IC-SKB2200-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWX
IC-SKB2240-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWW
IC-SKB2281-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWP
IC-SKB2320-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXS
IC-SKB2440-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWR
IC-SKB2460-F01,Windows 10,,
IC-SKB2460-F02,Windows 10,,
IC-SKB2460-F03,Windows 10,,
IC-SKB2460-F04,Windows 10,,
IC-SKB2460-F05,Windows 10,,
IC-SKB2460-F06,Windows 10,,
IC-SKB2460-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWY
IC-SKB2460-K01,Windows 11,Latitude 5440,3PHXSV3
IC-SKB2460-K02,Windows 11,Latitude 5440,5Q96TV3
IC-SKB2460-K03,Windows 11,Latitude 5440,57B8RV3
IC-SKB2460-K04,Windows 11,Latitude 5440,HVH8RV3
IC-SKB2460-K05,Windows 11,Latitude 5440,G5B8RV3
IC-SKB2460-K06,Windows 11,Latitude 5440,B7B8RV3
IC-SKB2600-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NY0
IC-SKB3003-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX7
IC-SKB3014-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXY
IC-SKB3020-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXH
IC-SKB3026-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX5
IC-SKB3073-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXJ
IC-SKB3110-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXK
IC-SKB3120-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXL
IC-SKB3289-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXM
IC-SKB3290-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXV
IC-SKB3440A-G1,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL04147XB
IC-SKB3440-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL04147X9
IC-SKB3450-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL04147XC
IC-SKB3460-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NWZ
IC-SKB3510-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXF
IC-SKB3600-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX0
IC-SKB4035-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX8
IC-SKB4071-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXP
IC-SKB4073-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXT
IC-SKB4077-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX6
IC-SKB4085-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NX2
IC-SKB4099-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXQ
IC-SKB4110-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXW
IC-SKB4115-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL04147X7
IC-SKB4290-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL04147X8
IC-SKB4295-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL0164NXG
IC-SKB4600-G01,Windows 11,EliteDesk 800 G5 Desktop Mini,MXL04147XM
IC-SKBAUD-H01,Windows 11,OptiPlex 7080,85T3KD3
IC-SPEVLPC-K01,Windows 11,Latitude 5440,2NLV8Y3
IC-STB1022-J01,Windows 11,OptiPlex 7000,41J03Q3
IC-STB2000-H01,Windows 11,OptiPlex 7080,9G1DK93
IC-STB2022-J01,Windows 11,OptiPlex 7090,CL4H3Q3
IC-STB3000-H01,Windows 11,OptiPlex 7080,85TZJD3
IC-STB3044-H01,Windows 11,OptiPlex 7090,DWFJJM3
IC-STB4000-H01,Windows 11,OptiPlex 7080,85V0KD3
IC-STB5000-H01,Windows 11,OptiPlex 7080,85V1KD3
IC-STB6000-H01,Windows 11,OptiPlex 7080,85V2KD3
IC-SUDDENDE-H01,Windows 11,Latitude 5520,J6Y2W93
IC-TAP130-J01,Windows 11,OptiPlex 7090,CM4H3Q3
IC-TAP180-J01,Windows 11,OptiPlex 7090,CN7H3Q3
IC-TAP210-J01,Windows 11,OptiPlex 7090,CS7H3Q3
IC-TAP270-J01,Windows 11,OptiPlex 7090,CT7H3Q3
IC-TAP60-H01,Windows 11,OptiPlex 7090,6MHC3L3
IC-TAP-VC-H01,Windows 11,OptiPlex 7090,3JT5RJ3
IC-TROG010-K01,Windows 11,OptiPlex Micro 7010,C3YH6X3
IC-TROG020-K01,Windows 11,OptiPlex Micro 7010,C51J6X3
IC-TROG030-K01,Windows 11,OptiPlex Micro 7010,D3YH6X3
IC-TSH1014-H01,Windows 11,OptiPlex 7080,85V3KD3
IC-TSH1029B-J01,Windows 11,OptiPlex 7000,40J03Q3
IC-TSH2021C-K1,Windows 11,OptiPlex Micro 7010,F3YH6X3
IC-TSH2024-K01,Windows 11,OptiPlex Micro 7010,CC6D6X3
IC-TSH2038-H01,Windows 11,OptiPlex 7090,JWFJJM3
IC-TSHG026-J01,Windows 11,OptiPlex 7090,CV7H3Q3
IC-TSHG040-K01,Windows 11,OptiPlex Micro 7010,CYZC6X3
IC-TSLOAN-S023,Windows 11,Surface Pro 7,36999694753
IC-TSLOAN-S024,Windows 11,Surface Pro 7,36670694753
IC-TSLOAN-S025,Windows 11,Surface Pro 7,4138594953
IC-TSLOAN-S026,Windows 10,Surface Pro 7,52949694753
IC-TSLOAN-S027,Windows 10,Surface Pro 7,36925394753
IC-TSLOAN-S029,Windows 10,Surface Pro 7,40742403953
IC-TSLOAN-S030,Windows 11,Surface Pro 7,36358394753
IC-TSLOAN-S031,Windows 11,Surface Pro 7,4454494953
IC-TSLOAN-S032,Windows 11,Surface Pro 7,24247204153
IC-TSLOAN-W044,Windows 11,,
IC-TSLOAN-W045,Windows 11,,
IC-TSLOAN-W046,Windows 11,Latitude 5410,G4SG163
IC-TSLOAN-W047,Windows 11,,
IC-TSLOAN-W048,Windows 11,,
IC-TSLOAN-W049,Windows 11,,
IC-TSLOAN-W050,Windows 11,Latitude 5410,DJLJ163
IC-TSLOAN-W051,Windows 11,Latitude 5410,GNPH163
IC-TSLOAN-W052,Windows 11,Latitude 5410,CLLJ163
IC-TSLOAN-W053,Windows 11,Latitude 5410,2QLJ163
IC-TSLOAN-W054,Windows 11,Latitude 5410,DB7J163
IC-TSLOAN-W055,Windows 10,,
IC-TSLOAN-W056,Windows 10,,
IC-TSLOAN-W057,Windows 11,Latitude 5410,DZHL163
IC-TSLOAN-W058,Windows 11,Latitude 5410,H6BL163
IC-TSLOAN-W060,Windows 11,,
IC-TSLOAN-W061,Windows 11,Latitude 5410,DWYG163
IC-TSLOAN-W062,Windows 11,,
IC-TSLOAN-W063,Windows 11,,
IC-TSLOAN-W064,Windows 11,Latitude 5410,G8BL163
IC-TSLOAN-W065,Windows 11,Latitude 5410,G22J163
IC-TSLOAN-W066,Windows 11,Latitude 5410,8Y1J163
IC-TSLOAN-W067,Windows 11,Latitude 5410,302J163
IC-TSLOAN-W068,Windows 10,Latitude 5410,84WH163
IC-TSLOAN-W069,Windows 10,Latitude 5410,3L4H163
IC-TSLOAN-W070,Windows 11,Latitude 5410,38WH163
IC-TSLOAN-W071,Windows 11,Latitude 5410,B97M163
IC-TSLOAN-W072,Windows 11,,
IC-TSLOAN-W073,Windows 11,Latitude 5410,9CWH163
IC-TSLOAN-W074,Windows 11,,
IC-TSLOAN-W075,Windows 11,Latitude 5410,59WH163
IC-TSLOAN-W076,Windows 11,Latitude 5410,GYHL163
IC-TSLOAN-W077,Windows 11,Latitude 5410,9GWH163
IC-TSLOAN-W079,Windows 10,,
IC-TSLOAN-W080,Windows 11,,
IC-TSLOAN-W081,Windows 11,Latitude 5410,25BL163
IC-TSLOAN-W083,Windows 11,Latitude 5410,3CSG163
IC-TSLOAN-W084,Windows 11,Latitude 5410,5V1L163
IC-TSLOAN-W085,Windows 11,Latitude 5410,997J163
IC-TSLOAN-W086,Windows 11,Latitude 5410,J5WK163
IC-TSLOAN-W087,Windows 11,,
IC-TSLOAN-W088,Windows 11,Latitude 5410,90JL163
IC-TSLOAN-W090,Windows 11,Latitude 5410,7CBL163
IC-TSLOAN-W091,Windows 11,Latitude 5410,4FBL163
IC-TSLOAN-W092,Windows 11,Latitude 5410,5VDJ163
IC-TSLOAN-W093,Windows 10,Latitude 5410,7Y1L163
IC-TSLOAN-W094,Windows 11,Latitude 5410,2NPH163
IC-TSLOAN-W095,Windows 11,Latitude 5410,GTYG163
IC-TSLOAN-W096,Windows 11,Latitude 5410,2WHL163
IC-TSLOAN-W097,Windows 11,Latitude 5410,5B7M163
IC-TSLOAN-W098,Windows 11,Latitude 5410,4THL163
IC-TSLOAN-W100,Windows 11,,
IC-TSLOAN-W101,Windows 11,,
IC-TSLOAN-W102,Windows 11,Latitude 5410,9X1L163
IC-TSLOAN-W103,Windows 11,Latitude 5410,GXYG163
IC-TSLOAN-W104,Windows 11,,
IC-TSLOAN-W105,Windows 10,Latitude 5410,CJWL163
IC-TSLOAN-W106,Windows 10,Latitude 5410,8GWL163
IC-TSLOAN-W107,Windows 11,Latitude 5410,67WK163
IC-TSLOAN-W115,Windows 11,,
IC-TSLOAN-W119,Windows 11,,
IC-TSLOAN-W121,Windows 11,,
IC-TSLOAN-W122,Windows 11,Latitude 5410,FVLJ163
IC-TSLOAN-W123,Windows 11,Latitude 5410,JRLJ163
IC-TSLOAN-W125,Windows 11,,
IC-TSLOAN-W126,Windows 11,Latitude 5410,GMPL163
IC-TSLOAN-W129,Windows 10,,
IC-TSLOAN-W131,Windows 11,Latitude 5420,5BQ69K3
IC-TSLOAN-W132,Windows 10,,
IC-TSLOAN-W133,Windows 11,Latitude 5420,7TJ69K3
IC-TSLOAN-W135,Windows 11,,
IC-TSLOAN-W136,Windows 11,Latitude 5420,BYJ69K3
IC-TSLOAN-W137,Windows 11,Latitude 5420,BDC69K3
IC-TSLOAN-W138,Windows 11,Latitude 5420,8CZVCK3
IC-TSLOAN-W139,Windows 11,Latitude 5420,68MVCK3
IC-TSLOAN-W140,Windows 11,Latitude 5420,70MVCK3
IC-TSLOAN-W141,Windows 11,Latitude 5420,B2C69K3
IC-TSLOAN-W142,Windows 11,,
IC-TSLOAN-W143,Windows 11,Latitude 5420,DNJ69K3
IC-TSLOAN-W144,Windows 11,Latitude 5420,1DC69K3
IC-TSLOAN-W145,Windows 11,,
IC-TSLOAN-W146,Windows 11,Latitude 5420,2RJ69K3
IC-TSLOAN-W147,Windows 11,,
IC-TSLOAN-W148,Windows 11,,
IC-TSLOAN-W149,Windows 11,,
IC-TSLOAN-W150,Windows 11,Latitude 5420,CCQ69K3
IC-TSLOAN-W151,Windows 11,Latitude 5420,8GQ69K3
IC-TSLOAN-W152,Windows 11,Latitude 5420,DRJ69K3
IC-TSLOAN-W153,Windows 11,,
IC-TSLOAN-W154,Windows 11,Latitude 5440,9MM6RV3
IC-TSLOAN-W155,Windows 11,Latitude 5440,91T6RV3
IC-TSLOAN-W161,Windows 11,Latitude 5440,C5T6RV3
IC-TSLOAN-W162,Windows 11,Latitude 5440,C17ZSV3
IC-TSLOAN-W163,Windows 11,,
IC-TSLOAN-W164,Windows 11,,
IC-TSLOAN-W165,Windows 11,,
IC-TSLOAN-W166,Windows 11,,
IC-TSLOAN-W167,Windows 11,Latitude 5440,FZ4TDY3
IC-TSLOAN-W168,Windows 11,,
IC-TSLOAN-W169,Windows 11,,
IC-TSLOAN-W170,Windows 11,,
IC-TSLOAN-W171,Windows 11,,
IC-TSLOAN-W172,Windows 11,,
IC-TSLOAN-W173,Windows 11,,
IC-TSLOAN-W174,Windows 11,Latitude 5440,FKJNDY3
IC-TSLOAN-W175,Windows 11,Latitude 5440,CKFSDY3
IC-TSLOAN-W176,Windows 11,,
IC-TSLOAN-W177,Windows 11,,
IC-TSLOAN-W178,Windows 11,,
IC-TSLOAN-W179,Windows 11,,
IC-TSLOAN-W180,Windows 11,Latitude 5410,D1BH163
IC-TSLOAN-W181,Windows 11,,
IC-TSLOAN-W182,Windows 11,,
IC-TSLOAN-W183,Windows 11,Latitude 5410,G0JH163
IC-TSLOAN-W184,Windows 11,,
IC-TSLOAN-W185,Windows 11,,
IC-TSLOAN-W186,Windows 11,,
IC-TSLOAN-W187,Windows 11,,
IC-TSLOAN-W188,Windows 11,,
IC-UMMA049-H01,Windows 11,OptiPlex 7090,2JT5RJ3
IC-USB1131B-H01,Windows 11,OptiPlex 7090,7WFJJM3
IC-USB1131C-H01,Windows 11,OptiPlex 7090,BWFJJM3
IC-USB1131-M01,Windows 11,OptiPlex Micro 7010,HZGT2Z3
IC-USB1141-J01,Windows 11,OptiPlex 7000,70J03Q3
IC-USB1151A-H01,Windows 10,OptiPlex 7090,5XFJJM3
IC-USB1230-H01,Windows 11,OptiPlex 7080,85V4KD3
IC-USB1250-H01,Windows 11,OptiPlex 7080,85V5KD3
IC-USB2114-M01,Windows 11,OptiPlex Micro 7010,5F5DSY3
IC-USB2115-M01,Windows 11,OptiPlex Micro 7010,HD5DSY3
IC-USB2122-M01,Windows 11,OptiPlex Micro 7010,JD5DSY3
IC-USB2123-M01,Windows 11,OptiPlex Micro 7010,2F5DSY3
IC-USB2130-M01,Windows 11,OptiPlex Micro 7010,7D5DSY3
IC-USB2131-M01,Windows 11,OptiPlex Micro 7010,9D5DSY3
IC-USB2146-F01,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9213F4T
IC-USB2146-K01,Windows 11,OptiPlex Micro 7010,CZZC6X3
IC-USB2160C-H01,Windows 10,OptiPlex 7090,6XFJJM3
IC-USB2165-M01,Windows 11,OptiPlex Micro 7010,D4C5704
IC-USB2234-H01,Windows 11,OptiPlex 7080,85V6KD3
IC-USB2244-H01,Windows 11,OptiPlex 7080,85V7KD3
IC-USB2260-H01,Windows 11,OptiPlex 7080,85V8KD3
IC-USB3114-J02,Windows 11,OptiPlex 7000,92J03Q3
IC-USB3114-J03,Windows 11,OptiPlex 7000,9KH03Q3
IC-USB3114-J04,Windows 11,OptiPlex 7000,9ZH03Q3
IC-USB3114-J05,Windows 11,OptiPlex 7000,B1J03Q3
IC-USB3114-J06,Windows 11,OptiPlex 7000,BKH03Q3
IC-USB3114-J07,Windows 11,OptiPlex 7000,BZH03Q3
IC-USB3114-J08,Windows 11,OptiPlex 7000,C0J03Q3
IC-USB3114-J09,Windows 11,OptiPlex 7000,C1J03Q3
IC-USB3114-J10,Windows 11,OptiPlex 7000,C2J03Q3
IC-USB3114-M01,Windows 11,OptiPlex Micro 7010,CD5DSY3
IC-USB3115-J02,Windows 11,OptiPlex 7000,CKH03Q3
IC-USB3115-J03,Windows 11,OptiPlex 7000,CZH03Q3
IC-USB3115-J04,Windows 11,OptiPlex 7000,D0J03Q3
IC-USB3115-J05,Windows 11,OptiPlex 7000,D1J03Q3
IC-USB3115-J06,Windows 11,OptiPlex 7000,D2J03Q3
IC-USB3115-J07,Windows 11,OptiPlex 7000,DKH03Q3
IC-USB3115-J08,Windows 11,OptiPlex 7000,DZH03Q3
IC-USB3115-J09,Windows 11,OptiPlex 7000,F0J03Q3
IC-USB3115-J10,Windows 11,,
IC-USB3115-M01,Windows 11,OptiPlex Micro 7010,1F5DSY3
IC-USB3122-C01,Windows 10,EliteDesk 800 35W G2 Desktop Mini,2UA6252GT7
IC-USB3122-J02,Windows 11,OptiPlex 7000,G1J03Q3
IC-USB3122-J03,Windows 11,OptiPlex 7000,G2J03Q3
IC-USB3122-J04,Windows 11,OptiPlex 7000,H0J03Q3
IC-USB3122-J05,Windows 11,OptiPlex 7000,H1J03Q3
IC-USB3122-J06,Windows 11,OptiPlex 7000,HKH03Q3
IC-USB3122-J07,Windows 11,OptiPlex 7000,HZH03Q3
IC-USB3122-J08,Windows 11,OptiPlex 7000,J0J03Q3
IC-USB3122-J09,Windows 11,OptiPlex 7000,J1J03Q3
IC-USB3122-J10,Windows 11,,
IC-USB3122-M01,Windows 11,,
IC-USB3123-M01,Windows 11,OptiPlex Micro 7010,4F5DSY3
IC-USB3130-M01,Windows 11,OptiPlex Micro 7010,BD5DSY3
IC-USB3131-M01,Windows 11,OptiPlex Micro 7010,FD5DSY3
IC-USB3142-M01,Windows 11,OptiPlex Micro 7010,GD5DSY3
IC-USB3143-M01,Windows 11,OptiPlex Micro 7010,8D5DSY3
IC-USB3151-M01,Windows 11,OptiPlex Micro 7010,DD5DSY3
IC-USB3163-J01,Windows 11,OptiPlex 7090,5HT5RJ3
IC-USB3236-J01,Windows 11,OptiPlex 7090,7JT5RJ3
IC-USB3265-J01,Windows 11,OptiPlex 7090,3NT5RJ3
IC-USB4118-F01,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9102Q78
IC-USB4118-F02,Windows 10,Z2 Tower G4 Workstation,MXL919225V
IC-USB4118-F03,Windows 10,Z2 Tower G4 Workstation,MXL919225T
IC-USB4118-F04,Windows 10,Z2 Tower G4 Workstation,MXL919225W
IC-USB4118-F05,Windows 10,Z2 Tower G4 Workstation,MXL919225S
IC-USB4118-F06,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9102Q7G
IC-USB4118-F07,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9102QKF
IC-USB4118-F08,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9102Q5N
IC-USB4118-F09,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9102Q5K
IC-USB4118-K01,Windows 11,OptiPlex Micro 7010,G3YH6X3
IC-USB4118-K06,Windows 11,OptiPlex Micro 7010,H2YH6X3
IC-USB4118-K07,Windows 11,OptiPlex Micro 7010,H3YH6X3
IC-USB4118-K08,Windows 11,OptiPlex Micro 7010,J2YH6X3
IC-USB4118-K09,Windows 11,OptiPlex Micro 7010,J3YH6X3
IC-USB4127-H01,Windows 11,OptiPlex 7090,6WFJJM3
IC-USB4151-J01,Windows 11,OptiPlex 7090,CWBH3Q3
IC-USB4152-H01,Windows 11,OptiPlex 7080,85W0KD3
IC-USB4153-J01,Windows 11,OptiPlex 7090,DP7H3Q3
IC-USB-VC-H01,Windows 11,OptiPlex 7090,GNT5RJ3
IC-VCCART-E01,Windows 10,,
IC-VCCART-F01,Windows 10,EliteDesk 800 35W G4 Desktop Mini,MXL9102CMF
IC-VCCART-H01,Windows 10,OptiPlex 7080,85H5KD3
IC-VCCART-H02,Windows 11,OptiPlex 7080,85H6KD3
IC-VCCART-H03,Windows 11,OptiPlex 7080,85R4KD3
IC-VCCART-H04,Windows 11,OptiPlex 7080,85X6KD3
IC-VCCART-H05,Windows 11,OptiPlex 7090,7NT5RJ3
IC-VCCART-J01,Windows 11,OptiPlex 7090,DT7H3Q3
IC-VCCART-K02,Windows 11,OptiPlex Micro 7010,D20D6X3
IC-VCCART-K03,Windows 11,OptiPlex Micro 7010,D30D6X3
IC-VRLAB-J01,Windows 11,Precision 3660 Tower,4RN40R3
IC-VRLAB-J02,Windows 11,Precision 3660 Tower,CRN40R3
IC-VRLAB-J03,Windows 11,Precision 3660 Tower,G0R40R3
IC-VRLAB-J04,Windows 11,Precision 3660 Tower,7RN40R3
IC-VRLAB-J05,Windows 11,Precision 3660 Tower,9RN40R3
IC-VRLAB-J06,Windows 11,Precision 3660 Tower,6RN40R3
IC-WEI1010-H01,Windows 11,OptiPlex 7080,85W1KD3
IC-WEI1055-H01,Windows 11,OptiPlex 7080,85W2KD3
IC-WEI110-H01,Windows 11,OptiPlex 7080,85W3KD3
IC-WEI120-H01,Windows 11,OptiPlex 7080,85W4KD3
IC-WEI170-H01,Windows 11,OptiPlex 7080,85W5KD3
IC-WEI182-H01,Windows 11,OptiPlex 7080,85W6KD3
IC-WEI255-H01,Windows 11,OptiPlex 7080,85W7KD3
IC-WEI260-H01,Windows 11,OptiPlex 7080,85W8KD3
IC-WEI268-J01,Windows 11,OptiPlex 7090,FL4H3Q3
IC-WEI269-J01,Windows 11,OptiPlex 7090,FN7H3Q3
IC-WEI271-K01,Windows 11,OptiPlex Micro 7010,D00D6X3
IC-WEI296-H01,Windows 11,OptiPlex 7080,85X7KD3
IC-WEI307-H01,Windows 11,OptiPlex 7080,85X4KD3
IC-WEI355-H01,Windows 11,OptiPlex 7080,85X5KD3
IC-WEI447-H01,Windows 11,OptiPlex 7080,85X8KD3
IC-WEI455-H01,Windows 11,OptiPlex 7080,85WZJD3
IC-WEI523-H01,Windows 11,OptiPlex 7080,85X0KD3
IC-WEI555-H01,Windows 11,OptiPlex 7080,85X1KD3
IC-WEI606-H01,Windows 10,OptiPlex 7090,6TKF5K3
IC-WEI607-F01,Windows 11,EliteDesk 800 35W G4 Desktop Mini,MXL9343BRF
IC-WEI726-H01,Windows 11,OptiPlex 7080,85X2KD3
IC-WEI734-H01,Windows 11,OptiPlex 7080,85X3KD3
IC-WEI747-H01,Windows 11,OptiPlex 7080,85XZJD3
IC-WEI755-H01,Windows 11,OptiPlex 7080,85Y0KD3
IC-WEI806-H01,Windows 11,OptiPlex 7080,85Y1KD3
IC-WEI855-H01,Windows 11,OptiPlex 7080,85Y2KD3
IC-WEI906-H01,Windows 11,OptiPlex 7080,85Y3KD3
IC-WEI955-J01,Windows 11,OptiPlex 7090,GS7H3Q3
IC-WEI-VC-H01,Windows 11,OptiPlex 7090,2PT5RJ3
IC-WHL111-J01,Windows 11,OptiPlex 7000,81J03Q3
IC-WHL120-J01,Windows 11,OptiPlex 7090,GXBH3Q3
IC-WHL210-H01,Windows 11,OptiPlex 7080,85Y4KD3
IC-WHL242-H01,Windows 11,OptiPlex 7080,85Y5KD3
IC-WHL300D-H01,Windows 11,OptiPlex 7090,8HT5RJ3
IC-WHL302-H01,Windows 11,OptiPlex 7090,B2VPDF3
IC-WHL306A-H01,Windows 11,OptiPlex 7090,HMT5RJ3
IC-WHL311-H01,Windows 11,OptiPlex 7090,HHT5RJ3
IC-WHL313-H01,Windows 11,OptiPlex 7090,B2SRDF3
IC-WHL335-H01,Windows 11,OptiPlex 7080,85Y6KD3
IC-WHL340-H01,Windows 11,OptiPlex 7080,85Y7KD3
IC-WHL401-H01,Windows 11,OptiPlex 7090,9WFJJM3
IC-WHL411-H01,Windows 11,OptiPlex 7080,85Y8KD3
IC-WHL438-J01,Windows 10,OptiPlex 7090,4JT5RJ3
IC-WHL-VC-H01,Windows 11,OptiPlex 7090,4NT5RJ3
IC-WIN11TEST,Windows 11,OptiPlex Micro 7010,CB3D6X3
LSA-AGAWA,Windows Server 2016,Alienware Aurora R7,C2C2MN2
lsa-aheinleigis,Windows 10,,
